sample,feature,output_param,shap_value,feature_value
2,73,$\Omega_m$,0.005395951228759586,-0.63924253
2,74,$\Omega_m$,0.0006891967042368663,-0.61959463
2,75,$\Omega_m$,-0.0027709066912454208,-0.6329628
2,76,$\Omega_m$,0.01286200996535095,-0.6570319
2,77,$\Omega_m$,-0.008181985740860306,-0.61889344
2,78,$\Omega_m$,-0.005657106311021662,-0.62937987
3,0,$\Omega_m$,0.008432200383977009,0.36044952
3,1,$\Omega_m$,0.005801268320356036,0.047860533
3,2,$\Omega_m$,-0.0016914645622212732,0.24182409
3,3,$\Omega_m$,0.004771043394042274,0.3299439
3,4,$\Omega_m$,0.011239526338661857,0.48370975
3,5,$\Omega_m$,0.010894417043261153,0.4735281
3,6,$\Omega_m$,0.005425419725070213,0.37558484
3,7,$\Omega_m$,0.003119235836105285,0.21092327
3,8,$\Omega_m$,0.001391604822517073,-0.06551882
3,9,$\Omega_m$,-0.03084096246709425,0.46187285
3,10,$\Omega_m$,-0.03287666571287748,0.7617409
3,11,$\Omega_m$,0.003294552690349543,0.73838437
3,12,$\Omega_m$,0.03605738884832437,0.86219776
3,13,$\Omega_m$,0.03205555832226914,0.51621556
3,14,$\Omega_m$,0.019529878727432032,0.393917
3,15,$\Omega_m$,-0.0028120623525077124,0.2547949
3,16,$\Omega_m$,-0.008621121826824202,0.39455923
3,17,$\Omega_m$,-0.011653091588717274,0.20824866
3,18,$\Omega_m$,-0.009660774206859069,0.22584763
3,19,$\Omega_m$,-0.050310560692742014,0.56239516
3,20,$\Omega_m$,-0.014643191075350226,0.40630248
3,21,$\Omega_m$,-0.008804631435814364,0.54040164
3,22,$\Omega_m$,0.005823596806221752,0.33721346
3,23,$\Omega_m$,0.014091878491065793,0.27845794
3,24,$\Omega_m$,0.010269461575274669,0.22719373
3,25,$\Omega_m$,0.013454258751783845,0.26363975
3,26,$\Omega_m$,0.000541708868986468,0.16517474
3,27,$\Omega_m$,0.005671807096029324,0.23473682
3,28,$\Omega_m$,0.011309415445042168,0.22215785
3,29,$\Omega_m$,0.011907557151183338,0.17778759
3,30,$\Omega_m$,0.009414598736481502,0.17268357
3,31,$\Omega_m$,0.008847848426861057,0.15844008
3,32,$\Omega_m$,0.0034461797845627327,0.12628372
3,33,$\Omega_m$,0.00849659526216178,0.086251736
3,34,$\Omega_m$,-0.0015327087957605807,0.09618201
3,35,$\Omega_m$,0.01503087366775921,0.06617534
3,36,$\Omega_m$,-0.0022665906902936406,0.07402395
3,37,$\Omega_m$,0.009132661510181309,0.04809709
3,38,$\Omega_m$,0.005005251678594493,0.021693205
