8.899641224696953554e-03 1.163372974164325751e+04 6.782402520675947926e+03 1.399138083763316536e+04 1.300000000000000000e+01
1.507912216506557788e-02 1.209021708364124061e+04 4.735715673904715004e+03 2.501906906710978092e+03 3.300000000000000000e+01
2.144790186456836667e-02 1.446251294895272440e+04 7.142353772911060332e+03 -1.445401369218444415e+03 7.900000000000000000e+01
2.783660776489276650e-02 1.147256816668434840e+04 3.339822309048177885e+03 2.229640715339522103e+03 1.170000000000000000e+02
3.435099785803411021e-02 1.112341668728078730e+04 2.119655091241057576e+01 -3.045414969757122890e+03 2.050000000000000000e+02
4.047886761425745911e-02 1.039933370517820367e+04 1.370416066509300435e+03 -2.006835865966780830e+03 2.350000000000000000e+02
4.676716683575679601e-02 8.796003985095367170e+03 -7.146472292830216588e+01 7.914615538157730725e+02 3.690000000000000000e+02
5.308225101765951665e-02 8.431461858882337765e+03 -1.564984223995442335e+03 8.762998817268253049e+01 4.330000000000000000e+02
5.945362440940590160e-02 7.258574853311441075e+03 7.789065201109367536e+02 5.495569872673693226e+02 5.850000000000000000e+02
6.576224814588792211e-02 7.125760237342868095e+03 -1.034547027835176550e+03 1.034748715990424195e+01 6.790000000000000000e+02
7.196632906698736953e-02 6.294519827685959172e+03 -1.811871081780640793e+02 -1.217021091885769692e+03 8.130000000000000000e+02
7.827860915688347743e-02 5.887528935064536199e+03 9.881230692098723978e+01 -2.378567904888016642e+02 9.850000000000000000e+02
8.470398945834539672e-02 5.539611570222895352e+03 -4.282673883478037169e+02 6.713494339442959244e+02 1.183000000000000000e+03
9.096854620527369817e-02 4.785870695717975650e+03 3.685254931796062579e+02 3.990045967091468526e+01 1.269000000000000000e+03
9.720789776830213169e-02 4.243450072519371133e+03 1.855778668324712442e+02 -1.659632986596501780e+02 1.537000000000000000e+03
1.034763038959366499e-01 3.655001013772377974e+03 -1.537125240527913661e+02 -5.065170363657558141e+02 1.653000000000000000e+03
1.097576444254559219e-01 3.545771577916601018e+03 2.167298727668960225e+02 -1.495290243140993880e+02 1.963000000000000000e+03
1.160543084780093354e-01 3.298079541533721113e+03 -8.814208413122042884e+01 1.463106393675297134e+01 2.121000000000000000e+03
1.223669666537485351e-01 3.015471899253322135e+03 -1.584766786060357902e+02 -2.776564317959159212e+02 2.413000000000000000e+03
1.286817263090294094e-01 3.061748795707644604e+03 -1.508522320011404645e+02 9.110447840256732377e+01 2.635000000000000000e+03
1.349500801664080818e-01 2.938963258395783214e+03 -1.142746481962299043e+02 2.477789296857826855e+02 2.877000000000000000e+03
1.411949558842147678e-01 2.731778404017818502e+03 -1.518828816899994081e+02 -9.849625273308693352e+01 3.169000000000000000e+03
1.475133575747468451e-01 2.483291558914644156e+03 -2.071970723685420879e+01 -1.712816464648633712e+02 3.507000000000000000e+03
1.537865074252268427e-01 2.295377894980875681e+03 1.010726903696291501e+01 5.083329408037463537e+01 3.685000000000000000e+03
1.600657544051110326e-01 2.212887378898844418e+03 1.801792458916909823e+01 -3.298583068162639620e+01 4.165000000000000000e+03
1.663991168687080635e-01 2.051370934881175799e+03 -2.303819854729703298e+00 -1.181489852543585428e+01 4.377000000000000000e+03
1.727195645776442856e-01 1.997661780931128305e+03 1.057828635405861348e+02 5.486381850711658181e+00 4.855000000000000000e+03
1.789765213377084718e-01 1.876139687774979393e+03 -3.153464158488088742e+01 3.814034529260490558e+01 4.929000000000000000e+03
1.852353690647852158e-01 1.742986407358370116e+03 -2.676156427031509466e+01 2.206987463492953339e+01 5.581000000000000000e+03
1.914806787341157279e-01 1.743217294742474223e+03 -5.861789331485755383e+01 6.390273388076821703e+01 5.679000000000000000e+03
1.977889868651535599e-01 1.674019040104341684e+03 -1.776620246362048849e+00 2.458642535728918332e+01 6.385000000000000000e+03
2.040937735447724277e-01 1.588266330337207137e+03 5.823300389364163721e+01 6.031173872611122988e+01 6.553000000000000000e+03
2.103939302609846018e-01 1.490963924784568690e+03 -1.275193040311766446e-01 5.124851669395089004e+01 7.125000000000000000e+03
2.166909709822301688e-01 1.464079606920176730e+03 2.600074574503108238e+01 -2.935360472590468106e+01 7.447000000000000000e+03
2.229700281216152047e-01 1.391318073974679237e+03 8.010725241401493335e+00 3.847618300284226933e+01 7.929000000000000000e+03
2.292620027086341994e-01 1.343847765696136321e+03 1.522521856742409530e-01 -6.391194635298916182e+00 8.353000000000000000e+03
